compound	entity_id	dti_edges	n_roles	roles
Compound::CHEBI_65342	CHEBI_65342	4	0	
Compound::CHEBI_58720	CHEBI_58720	4	2	Escherichia coli metabolite; human metabolite
Compound::CHEBI_34718	CHEBI_34718	4	3	allergen; epitope; sensitiser
Compound::CHEBI_58029	CHEBI_58029	4	1	human metabolite
Compound::CHEBI_139520	CHEBI_139520	4	0	
Compound::CHEBI_59888	CHEBI_59888	4	0	
Compound::CHEBI_75036	CHEBI_75036	4	0	
Compound::CHEBI_58301	CHEBI_58301	4	1	human metabolite
Compound::CHEBI_78599	CHEBI_78599	4	0	
Compound::CHEBI_140991	CHEBI_140991	4	0	
Compound::CHEBI_59080	CHEBI_59080	4	1	mouse metabolite
Compound::CHEBI_83416	CHEBI_83416	4	0	
Compound::CHEBI_75163	CHEBI_75163	4	0	
Compound::CHEBI_58437	CHEBI_58437	4	0	
Compound::CHEBI_83273	CHEBI_83273	4	0	
Compound::CHEBI_76613	CHEBI_76613	4	0	
Compound::CHEBI_58759	CHEBI_58759	4	1	fundamental metabolite
Compound::CHEBI_55329	CHEBI_55329	4	1	plant metabolite
Compound::CHEBI_58432	CHEBI_58432	4	2	human metabolite; mouse metabolite
Compound::CHEBI_15368	CHEBI_15368	4	3	herbicide; human xenobiotic metabolite; toxin
Compound::CHEBI_142606	CHEBI_142606	4	0	
Compound::CHEBI_27731	CHEBI_27731	4	1	mouse metabolite
Compound::CHEBI_138445	CHEBI_138445	4	0	
Compound::CHEBI_136931	CHEBI_136931	4	0	
Compound::CHEBI_85428	CHEBI_85428	4	0	
Compound::CHEBI_62543	CHEBI_62543	4	0	
Compound::CHEBI_77128	CHEBI_77128	4	0	
Compound::CHEBI_83865	CHEBI_83865	4	0	
Compound::CHEBI_90376	CHEBI_90376	4	0	
Compound::CHEBI_15903	CHEBI_15903	4	2	epitope; mouse metabolite
Compound::CHEBI_77890	CHEBI_77890	4	1	apoptosis inducer
Compound::CHEBI_72828	CHEBI_72828	4	0	
Compound::CHEBI_77081	CHEBI_77081	4	0	
Compound::CHEBI_36835	CHEBI_36835	4	0	
Compound::CHEBI_57327	CHEBI_57327	4	1	human metabolite
Compound::CHEBI_16199	CHEBI_16199	4	7	Daphnia magna metabolite; Escherichia coli metabolite; Saccharomyces cerevisiae metabolite; fertilizer; flour treatment agent; human metabolite; mouse metabolite
Compound::CHEBI_133409	CHEBI_133409	4	0	
Compound::CHEBI_139605	CHEBI_139605	4	0	
Compound::CHEBI_64723	CHEBI_64723	4	0	
Compound::CHEBI_16605	CHEBI_16605	4	5	antibacterial agent; fungicide; herbicide; insecticide; plant metabolite
Compound::CHEBI_58454	CHEBI_58454	4	1	human metabolite
Compound::CHEBI_32154	CHEBI_32154	4	3	algal metabolite; human metabolite; plant metabolite
Compound::CHEBI_71009	CHEBI_71009	4	0	
Compound::CHEBI_64771	CHEBI_64771	4	0	
Compound::CHEBI_74012	CHEBI_74012	4	0	
Compound::CHEBI_57991	CHEBI_57991	4	1	human metabolite
Compound::CHEBI_63904	CHEBI_63904	4	0	
Compound::CHEBI_75555	CHEBI_75555	4	2	Caenorhabditis elegans metabolite; algal metabolite
Compound::CHEBI_83120	CHEBI_83120	4	0	
Compound::CHEBI_17826	CHEBI_17826	4	3	carcinogenic agent; human xenobiotic metabolite; poison
Compound::CHEBI_136642	CHEBI_136642	4	0	
Compound::CHEBI_58092	CHEBI_58092	4	1	human metabolite
Compound::CHEBI_149504	CHEBI_149504	4	0	
Compound::CHEBI_140992	CHEBI_140992	4	0	
Compound::CHEBI_78521	CHEBI_78521	4	0	
Compound::CHEBI_90230	CHEBI_90230	4	1	human metabolite
Compound::CHEBI_57433	CHEBI_57433	4	0	
Compound::CHEBI_74966	CHEBI_74966	4	0	
Compound::CHEBI_75587	CHEBI_75587	4	0	
Compound::CHEBI_137009	CHEBI_137009	4	0	
Compound::CHEBI_76090	CHEBI_76090	4	0	
Compound::CHEBI_74344	CHEBI_74344	4	1	mouse metabolite
Compound::CHEBI_77644	CHEBI_77644	4	0	
Compound::CHEBI_149524	CHEBI_149524	4	0	
Compound::CHEBI_74946	CHEBI_74946	4	0	
Compound::CHEBI_27974	CHEBI_27974	4	4	estrogen; human metabolite; human xenobiotic metabolite; mouse metabolite
Compound::CHEBI_75121	CHEBI_75121	4	0	
Compound::CHEBI_57397	CHEBI_57397	4	1	human metabolite
Compound::CHEBI_64583	CHEBI_64583	4	0	
Compound::CHEBI_61042	CHEBI_61042	4	2	Papio hamadryas metabolite; human metabolite
Compound::CHEBI_78608	CHEBI_78608	4	0	
Compound::CHEBI_136545	CHEBI_136545	4	0	
Compound::CHEBI_23614	CHEBI_23614	4	1	human metabolite
Compound::CHEBI_77092	CHEBI_77092	4	1	antinematodal drug
Compound::CHEBI_28952	CHEBI_28952	4	2	human metabolite; progestogen
Compound::CHEBI_88221	CHEBI_88221	4	0	
Compound::CHEBI_18067	CHEBI_18067	4	3	cofactor; human metabolite; plant metabolite
Compound::CHEBI_58299	CHEBI_58299	4	2	Saccharomyces cerevisiae metabolite; human metabolite
Compound::CHEBI_75583	CHEBI_75583	4	0	
Compound::CHEBI_75586	CHEBI_75586	4	0	
Compound::CHEBI_57344	CHEBI_57344	4	1	human metabolite
Compound::CHEBI_46979	CHEBI_46979	4	0	
Compound::CHEBI_72965	CHEBI_72965	4	1	mouse metabolite
Compound::CHEBI_57700	CHEBI_57700	4	1	human metabolite
Compound::CHEBI_76979	CHEBI_76979	4	0	
Compound::CHEBI_57451	CHEBI_57451	4	2	Saccharomyces cerevisiae metabolite; human metabolite
Compound::CHEBI_78911	CHEBI_78911	4	0	
Compound::CHEBI_76298	CHEBI_76298	4	0	
Compound::CHEBI_16973	CHEBI_16973	4	2	human metabolite; mouse metabolite
Compound::CHEBI_136914	CHEBI_136914	4	0	
Compound::CHEBI_74011	CHEBI_74011	4	0	
Compound::CHEBI_64124	CHEBI_64124	4	0	
Compound::CHEBI_57762	CHEBI_57762	4	0	
Compound::CHEBI_74054	CHEBI_74054	4	0	
Compound::CHEBI_32392	CHEBI_32392	4	1	human metabolite
Compound::CHEBI_16962	CHEBI_16962	4	2	human metabolite; mouse metabolite
Compound::CHEBI_77224	CHEBI_77224	4	1	human metabolite
Compound::CHEBI_138191	CHEBI_138191	4	0	
Compound::CHEBI_76299	CHEBI_76299	4	0	
Compound::CHEBI_142593	CHEBI_142593	4	0	
Compound::CHEBI_140572	CHEBI_140572	4	0	
Compound::CHEBI_74905	CHEBI_74905	4	0	
Compound::CHEBI_138444	CHEBI_138444	4	0	
Compound::CHEBI_75219	CHEBI_75219	4	1	platelet-activating factor receptor agonist
Compound::CHEBI_52450	CHEBI_52450	3	5	antihypertensive agent; beta-adrenergic antagonist; bronchoconstrictor agent; hematologic agent; vasodilator agent
Compound::CHEBI_133771	CHEBI_133771	3	0	
Compound::CHEBI_63837	CHEBI_63837	3	0	
Compound::CHEBI_65296	CHEBI_65296	3	0	
Compound::CHEBI_87785	CHEBI_87785	3	0	
Compound::CHEBI_140349	CHEBI_140349	3	0	
Compound::CHEBI_136370	CHEBI_136370	3	0	
Compound::CHEBI_57402	CHEBI_57402	3	0	
Compound::CHEBI_136309	CHEBI_136309	3	0	
Compound::CHEBI_76304	CHEBI_76304	3	0	
Compound::CHEBI_72962	CHEBI_72962	3	1	mouse metabolite
Compound::CHEBI_77136	CHEBI_77136	3	0	
Compound::CHEBI_62616	CHEBI_62616	3	0	
Compound::CHEBI_60657	CHEBI_60657	3	0	
Compound::CHEBI_136902	CHEBI_136902	3	0	
Compound::CHEBI_78438	CHEBI_78438	3	0	
Compound::CHEBI_132062	CHEBI_132062	3	0	
Compound::CHEBI_77342	CHEBI_77342	3	0	
Compound::CHEBI_17790	CHEBI_17790	3	6	Escherichia coli metabolite; Mycoplasma genitalium metabolite; amphiprotic solvent; fuel; human metabolite; mouse metabolite
Compound::CHEBI_9407	CHEBI_9407	3	1	human metabolite
Compound::CHEBI_10702	CHEBI_10702	3	0	
Compound::CHEBI_136302	CHEBI_136302	3	0	
Compound::CHEBI_84467	CHEBI_84467	3	0	
Compound::CHEBI_34071	CHEBI_34071	3	0	
Compound::CHEBI_85376	CHEBI_85376	3	0	
Compound::CHEBI_62117	CHEBI_62117	3	0	
Compound::CHEBI_74941	CHEBI_74941	3	0	
Compound::CHEBI_75038	CHEBI_75038	3	0	
Compound::CHEBI_65264	CHEBI_65264	3	0	
Compound::CHEBI_78477	CHEBI_78477	3	0	
Compound::CHEBI_1722	CHEBI_1722	3	0	
Compound::CHEBI_75243	CHEBI_75243	3	0	
Compound::CHEBI_73000	CHEBI_73000	3	1	mouse metabolite
Compound::CHEBI_77125	CHEBI_77125	3	0	
Compound::CHEBI_28733	CHEBI_28733	3	1	mouse metabolite
Compound::CHEBI_17568	CHEBI_17568	3	7	Daphnia magna metabolite; Escherichia coli metabolite; Saccharomyces cerevisiae metabolite; allergen; human metabolite; mouse metabolite; prodrug
Compound::CHEBI_83242	CHEBI_83242	3	0	
Compound::CHEBI_57876	CHEBI_57876	3	2	Saccharomyces cerevisiae metabolite; human metabolite
Compound::CHEBI_78776	CHEBI_78776	3	0	
Compound::CHEBI_84654	CHEBI_84654	3	0	
Compound::CHEBI_16521	CHEBI_16521	3	5	Saccharomyces cerevisiae metabolite; bacterial metabolite; human metabolite; mouse metabolite; plant metabolite
Compound::CHEBI_131859	CHEBI_131859	3	0	
Compound::CHEBI_52962	CHEBI_52962	3	1	Saccharomyces cerevisiae metabolite
Compound::CHEBI_18313	CHEBI_18313	3	2	antigen; mouse metabolite
Compound::CHEBI_8988	CHEBI_8988	3	4	EC 5.99.1.2 (DNA topoisomerase) inhibitor; antineoplastic agent; apoptosis inducer; drug metabolite
Compound::CHEBI_78497	CHEBI_78497	3	0	
Compound::CHEBI_132154	CHEBI_132154	3	0	
Compound::CHEBI_17737	CHEBI_17737	3	2	human metabolite; mouse metabolite
Compound::CHEBI_67021	CHEBI_67021	3	1	mouse metabolite
Compound::CHEBI_155838	CHEBI_155838	3	0	
Compound::CHEBI_90956	CHEBI_90956	3	2	human xenobiotic metabolite; rat metabolite
Compound::CHEBI_87787	CHEBI_87787	3	0	
Compound::CHEBI_74264	CHEBI_74264	3	0	
Compound::CHEBI_136937	CHEBI_136937	3	0	
Compound::CHEBI_78467	CHEBI_78467	3	0	
Compound::CHEBI_16480	CHEBI_16480	3	8	Escherichia coli metabolite; bronchodilator agent; human metabolite; mouse metabolite; neurotransmitter; radical scavenger; signalling molecule; vasodilator agent
Compound::CHEBI_86160	CHEBI_86160	3	0	
Compound::CHEBI_132259	CHEBI_132259	3	2	human xenobiotic metabolite; mouse metabolite
Compound::CHEBI_78784	CHEBI_78784	3	0	
Compound::CHEBI_131958	CHEBI_131958	3	0	
Compound::CHEBI_67143	CHEBI_67143	3	1	protein synthesis inhibitor
Compound::CHEBI_17748	CHEBI_17748	3	4	Escherichia coli metabolite; human metabolite; metabolite; mouse metabolite
Compound::CHEBI_82629	CHEBI_82629	3	0	
Compound::CHEBI_90233	CHEBI_90233	3	1	human metabolite
Compound::CHEBI_136989	CHEBI_136989	3	1	human xenobiotic metabolite
Compound::CHEBI_55474	CHEBI_55474	3	0	
Compound::CHEBI_82612	CHEBI_82612	3	0	
Compound::CHEBI_84032	CHEBI_84032	3	0	
Compound::CHEBI_87044	CHEBI_87044	3	1	mouse metabolite
Compound::CHEBI_138019	CHEBI_138019	3	0	
Compound::CHEBI_18036	CHEBI_18036	3	1	human metabolite
Compound::CHEBI_136524	CHEBI_136524	3	0	
Compound::CHEBI_57567	CHEBI_57567	3	2	Saccharomyces cerevisiae metabolite; human metabolite
Compound::CHEBI_73995	CHEBI_73995	3	0	
Compound::CHEBI_131974	CHEBI_131974	3	0	
Compound::CHEBI_90840	CHEBI_90840	3	0	
Compound::CHEBI_57464	CHEBI_57464	3	2	Saccharomyces cerevisiae metabolite; human metabolite
Compound::CHEBI_132200	CHEBI_132200	3	0	
Compound::CHEBI_33409	CHEBI_33409	3	0	
Compound::CHEBI_356416	CHEBI_356416	3	0	
Compound::CHEBI_88073	CHEBI_88073	3	0	
Compound::CHEBI_85222	CHEBI_85222	3	0	
Compound::CHEBI_73543	CHEBI_73543	3	0	
Compound::CHEBI_35812	CHEBI_35812	3	1	antinematodal drug
Compound::CHEBI_43120	CHEBI_43120	3	0	
Compound::CHEBI_136373	CHEBI_136373	3	0	
Compound::CHEBI_17180	CHEBI_17180	3	1	human metabolite
Compound::CHEBI_57460	CHEBI_57460	3	1	human metabolite
Compound::CHEBI_90339	CHEBI_90339	3	0	
Compound::CHEBI_58465	CHEBI_58465	3	0	
Compound::CHEBI_57345	CHEBI_57345	3	1	human metabolite
Compound::CHEBI_77140	CHEBI_77140	3	0	
Compound::CHEBI_136904	CHEBI_136904	3	0	
Compound::CHEBI_90680	CHEBI_90680	3	0	
Compound::CHEBI_15893	CHEBI_15893	3	2	Saccharomyces cerevisiae metabolite; human metabolite
Compound::CHEBI_138443	CHEBI_138443	3	0	
Compound::CHEBI_134090	CHEBI_134090	3	0	
Compound::CHEBI_78454	CHEBI_78454	3	0	
Compound::CHEBI_77286	CHEBI_77286	3	0	
Compound::CHEBI_75938	CHEBI_75938	3	0	
Compound::CHEBI_138222	CHEBI_138222	3	0	
Compound::CHEBI_58161	CHEBI_58161	3	0	
Compound::CHEBI_137403	CHEBI_137403	3	0	
Compound::CHEBI_78458	CHEBI_78458	3	0	
Compound::CHEBI_85097	CHEBI_85097	3	0	
Compound::CHEBI_75067	CHEBI_75067	3	0	
Compound::CHEBI_156397	CHEBI_156397	3	0	
Compound::CHEBI_29317	CHEBI_29317	3	0	
Compound::CHEBI_29256	CHEBI_29256	3	0	
Compound::CHEBI_57955	CHEBI_57955	3	2	Saccharomyces cerevisiae metabolite; human metabolite
Compound::CHEBI_57309	CHEBI_57309	3	2	Saccharomyces cerevisiae metabolite; human metabolite
Compound::CHEBI_77159	CHEBI_77159	3	0	
Compound::CHEBI_15927	CHEBI_15927	3	3	Saccharomyces cerevisiae metabolite; human metabolite; mouse metabolite
Compound::CHEBI_90716	CHEBI_90716	3	0	
Compound::CHEBI_76639	CHEBI_76639	3	0	
Compound::CHEBI_77295	CHEBI_77295	3	0	
Compound::CHEBI_116314	CHEBI_116314	3	2	human metabolite; plant metabolite
Compound::CHEBI_57733	CHEBI_57733	3	2	Saccharomyces cerevisiae metabolite; human metabolite
Compound::CHEBI_136901	CHEBI_136901	3	0	
Compound::CHEBI_64677	CHEBI_64677	3	0	
Compound::CHEBI_18421	CHEBI_18421	3	3	Escherichia coli metabolite; human metabolite; mouse metabolite
Compound::CHEBI_75610	CHEBI_75610	3	0	
Compound::CHEBI_58475	CHEBI_58475	3	2	Saccharomyces cerevisiae metabolite; human metabolite
Compound::CHEBI_18252	CHEBI_18252	3	3	Saccharomyces cerevisiae metabolite; human metabolite; mouse metabolite
Compound::CHEBI_71451	CHEBI_71451	3	0	
Compound::CHEBI_52961	CHEBI_52961	3	2	Saccharomyces cerevisiae metabolite; mouse metabolite
Compound::CHEBI_78837	CHEBI_78837	3	0	
Compound::CHEBI_132060	CHEBI_132060	3	0	
Compound::CHEBI_76635	CHEBI_76635	3	0	
Compound::CHEBI_75105	CHEBI_75105	3	0	
Compound::CHEBI_17158	CHEBI_17158	3	4	Escherichia coli metabolite; Saccharomyces cerevisiae metabolite; human metabolite; mouse metabolite
Compound::CHEBI_36836	CHEBI_36836	3	0	
Compound::CHEBI_57670	CHEBI_57670	3	0	
Compound::CHEBI_77096	CHEBI_77096	3	0	
Compound::CHEBI_78229	CHEBI_78229	3	0	
Compound::CHEBI_29917	CHEBI_29917	3	0	
Compound::CHEBI_77460	CHEBI_77460	3	0	
Compound::CHEBI_83690	CHEBI_83690	3	0	
Compound::CHEBI_60909	CHEBI_60909	3	0	
Compound::CHEBI_77163	CHEBI_77163	3	0	
Compound::CHEBI_78449	CHEBI_78449	3	0	
Compound::CHEBI_78455	CHEBI_78455	3	0	
Compound::CHEBI_72845	CHEBI_72845	3	0	
Compound::CHEBI_78530	CHEBI_78530	3	0	
Compound::CHEBI_82949	CHEBI_82949	3	0	
Compound::CHEBI_142556	CHEBI_142556	3	0	
Compound::CHEBI_77158	CHEBI_77158	3	0	
Compound::CHEBI_78533	CHEBI_78533	3	0	
Compound::CHEBI_42534	CHEBI_42534	3	2	androgen antagonist; human metabolite
Compound::CHEBI_59720	CHEBI_59720	3	0	
Compound::CHEBI_17224	CHEBI_17224	3	2	antineoplastic agent; hyaluronic acid synthesis inhibitor
Compound::CHEBI_149482	CHEBI_149482	3	0	
Compound::CHEBI_58409	CHEBI_58409	3	1	human metabolite
Compound::CHEBI_17378	CHEBI_17378	3	4	Escherichia coli metabolite; Saccharomyces cerevisiae metabolite; human metabolite; mouse metabolite
Compound::CHEBI_80788	CHEBI_80788	3	3	central nervous system depressant; fumigant insecticide; plant metabolite
Compound::CHEBI_59996	CHEBI_59996	3	0	
Compound::CHEBI_78534	CHEBI_78534	3	0	
Compound::CHEBI_132153	CHEBI_132153	3	0	
Compound::CHEBI_58905	CHEBI_58905	3	0	
Compound::CHEBI_74897	CHEBI_74897	3	0	
Compound::CHEBI_136882	CHEBI_136882	3	0	
Compound::CHEBI_64738	CHEBI_64738	3	0	
Compound::CHEBI_75104	CHEBI_75104	3	0	
Compound::CHEBI_65115	CHEBI_65115	3	0	
Compound::CHEBI_156396	CHEBI_156396	3	0	
Compound::CHEBI_132416	CHEBI_132416	3	0	
Compound::CHEBI_62989	CHEBI_62989	3	0	
Compound::CHEBI_74281	CHEBI_74281	3	0	
Compound::CHEBI_57259	CHEBI_57259	3	0	
Compound::CHEBI_57443	CHEBI_57443	3	2	Saccharomyces cerevisiae metabolite; human metabolite
Compound::CHEBI_74554	CHEBI_74554	3	0	
Compound::CHEBI_28115	CHEBI_28115	3	3	cofactor; human metabolite; mouse metabolite
Compound::CHEBI_77167	CHEBI_77167	3	0	
Compound::CHEBI_566274	CHEBI_566274	3	1	biomarker
Compound::CHEBI_85226	CHEBI_85226	3	0	
Compound::CHEBI_76076	CHEBI_76076	3	1	human metabolite
Compound::CHEBI_140310	CHEBI_140310	3	0	
Compound::CHEBI_59905	CHEBI_59905	3	1	human metabolite
Compound::CHEBI_133408	CHEBI_133408	3	0	
Compound::CHEBI_139596	CHEBI_139596	3	0	
Compound::CHEBI_17899	CHEBI_17899	3	2	human metabolite; mouse metabolite
Compound::CHEBI_138021	CHEBI_138021	3	0	
Compound::CHEBI_133370	CHEBI_133370	3	0	
Compound::CHEBI_83264	CHEBI_83264	3	0	
Compound::CHEBI_17310	CHEBI_17310	3	5	Escherichia coli metabolite; Saccharomyces cerevisiae metabolite; cofactor; human metabolite; mouse metabolite
Compound::CHEBI_136567	CHEBI_136567	3	0	
Compound::CHEBI_64722	CHEBI_64722	3	0	
Compound::CHEBI_65280	CHEBI_65280	3	0	
Compound::CHEBI_15698	CHEBI_15698	3	4	Escherichia coli metabolite; Saccharomyces cerevisiae metabolite; human metabolite; mouse metabolite
Compound::CHEBI_16708	CHEBI_16708	3	5	Daphnia magna metabolite; Escherichia coli metabolite; Saccharomyces cerevisiae metabolite; human metabolite; mouse metabolite
Compound::CHEBI_133396	CHEBI_133396	3	0	
Compound::CHEBI_85342	CHEBI_85342	3	0	
Compound::CHEBI_88079	CHEBI_88079	3	0	
Compound::CHEBI_67027	CHEBI_67027	3	1	mouse metabolite
Compound::CHEBI_149554	CHEBI_149554	3	0	
Compound::CHEBI_28324	CHEBI_28324	3	2	human metabolite; mouse metabolite
Compound::CHEBI_246422	CHEBI_246422	3	2	Saccharomyces cerevisiae metabolite; human metabolite
Compound::CHEBI_156461	CHEBI_156461	3	0	
Compound::CHEBI_137941	CHEBI_137941	3	0	
Compound::CHEBI_62287	CHEBI_62287	3	2	antigen; epitope
Compound::CHEBI_17763	CHEBI_17763	3	1	plant metabolite
Compound::CHEBI_74296	CHEBI_74296	3	0	
Compound::CHEBI_85195	CHEBI_85195	3	0	
Compound::CHEBI_49786	CHEBI_49786	3	1	cofactor
Compound::CHEBI_18135	CHEBI_18135	3	3	allelochemical; genotoxin; plant metabolite
Compound::CHEBI_76615	CHEBI_76615	3	0	
Compound::CHEBI_57504	CHEBI_57504	3	0	
Compound::CHEBI_85166	CHEBI_85166	3	1	human metabolite
Compound::CHEBI_156395	CHEBI_156395	3	0	
Compound::CHEBI_76083	CHEBI_76083	3	0	
Compound::CHEBI_61723	CHEBI_61723	3	1	prosthetic group
Compound::CHEBI_58321	CHEBI_58321	3	0	
Compound::CHEBI_71481	CHEBI_71481	3	0	
Compound::CHEBI_136990	CHEBI_136990	3	1	human xenobiotic metabolite
Compound::CHEBI_77184	CHEBI_77184	3	0	
Compound::CHEBI_84031	CHEBI_84031	3	0	
Compound::CHEBI_73504	CHEBI_73504	3	2	metabolite; nonionic surfactant
Compound::CHEBI_16520	CHEBI_16520	3	0	
Compound::CHEBI_73856	CHEBI_73856	3	0	
Compound::CHEBI_149555	CHEBI_149555	3	0	
Compound::CHEBI_17135	CHEBI_17135	3	0	
Compound::CHEBI_90717	CHEBI_90717	3	0	
Compound::CHEBI_16144	CHEBI_16144	3	1	human metabolite
Compound::CHEBI_17168	CHEBI_17168	3	2	human metabolite; mouse metabolite
Compound::CHEBI_62877	CHEBI_62877	3	0	
Compound::CHEBI_132078	CHEBI_132078	3	0	
Compound::CHEBI_140627	CHEBI_140627	3	0	
Compound::CHEBI_58401	CHEBI_58401	3	2	Saccharomyces cerevisiae metabolite; human metabolite
Compound::CHEBI_57336	CHEBI_57336	3	1	human metabolite
Compound::CHEBI_28955	CHEBI_28955	3	6	angiogenesis modulating agent; antimitotic; antineoplastic agent; human metabolite; metabolite; mouse metabolite
Compound::CHEBI_28433	CHEBI_28433	3	0	
Compound::CHEBI_90615	CHEBI_90615	3	0	
Compound::CHEBI_18408	CHEBI_18408	3	5	Escherichia coli metabolite; coenzyme; cofactor; human metabolite; prosthetic group
Compound::CHEBI_74445	CHEBI_74445	3	0	
Compound::CHEBI_90151	CHEBI_90151	3	0	
Compound::CHEBI_17245	CHEBI_17245	3	13	EC 1.9.3.1 (cytochrome c oxidase) inhibitor; P450 inhibitor; biomarker; human metabolite; ligand; metabolite; mitochondrial respiratory-chain inhibitor; mouse metabolite; neurotoxin; neurotransmitter; probe; signalling molecule; vasodilator agent
Compound::CHEBI_77553	CHEBI_77553	3	0	
Compound::CHEBI_133411	CHEBI_133411	3	0	
Compound::CHEBI_17500	CHEBI_17500	3	1	mouse metabolite
Compound::CHEBI_17412	CHEBI_17412	3	0	
Compound::CHEBI_136315	CHEBI_136315	3	0	
Compound::CHEBI_35491	CHEBI_35491	3	0	
Compound::CHEBI_84139	CHEBI_84139	3	0	
Compound::CHEBI_78459	CHEBI_78459	3	0	
Compound::CHEBI_82751	CHEBI_82751	3	2	antibacterial agent; mouse metabolite
Compound::CHEBI_78228	CHEBI_78228	3	0	
Compound::CHEBI_78421	CHEBI_78421	3	0	
Compound::CHEBI_149486	CHEBI_149486	3	0	
Compound::CHEBI_16304	CHEBI_16304	3	2	cofactor; human metabolite
Compound::CHEBI_58125	CHEBI_58125	3	0	
Compound::CHEBI_75034	CHEBI_75034	3	0	
Compound::CHEBI_73110	CHEBI_73110	3	0	
Compound::CHEBI_17172	CHEBI_17172	3	4	Escherichia coli metabolite; Saccharomyces cerevisiae metabolite; human metabolite; mouse metabolite
Compound::CHEBI_74100	CHEBI_74100	3	1	mouse metabolite
Compound::CHEBI_132076	CHEBI_132076	3	0	
Compound::CHEBI_90694	CHEBI_90694	3	0	
Compound::CHEBI_83670	CHEBI_83670	3	3	anti-inflammatory agent; human metabolite; hypoglycemic agent
Compound::CHEBI_78904	CHEBI_78904	3	0	
Compound::CHEBI_132024	CHEBI_132024	3	0	
Compound::CHEBI_138266	CHEBI_138266	3	0	
Compound::CHEBI_137480	CHEBI_137480	3	0	
Compound::CHEBI_136312	CHEBI_136312	3	0	
Compound::CHEBI_18364	CHEBI_18364	3	3	Saccharomyces cerevisiae metabolite; human metabolite; mouse metabolite
Compound::CHEBI_132415	CHEBI_132415	3	0	
Compound::CHEBI_133374	CHEBI_133374	3	0	
Compound::CHEBI_58773	CHEBI_58773	3	0	
Compound::CHEBI_16953	CHEBI_16953	3	4	antioxidant; human metabolite; mouse metabolite; rat metabolite
Compound::CHEBI_64315	CHEBI_64315	3	0	
Compound::CHEBI_13601	CHEBI_13601	3	0	
Compound::CHEBI_143593	CHEBI_143593	3	0	
Compound::CHEBI_142617	CHEBI_142617	3	0	
Compound::CHEBI_90616	CHEBI_90616	3	0	
Compound::CHEBI_156398	CHEBI_156398	3	0	
Compound::CHEBI_57391	CHEBI_57391	3	1	human metabolite
Compound::CHEBI_15759	CHEBI_15759	3	0	
Compound::CHEBI_138735	CHEBI_138735	3	0	
Compound::CHEBI_18608	CHEBI_18608	3	2	Saccharomyces cerevisiae metabolite; human metabolite
Compound::CHEBI_136886	CHEBI_136886	3	0	
Compound::CHEBI_79072	CHEBI_79072	3	1	human metabolite
Compound::CHEBI_61085	CHEBI_61085	3	1	human metabolite
Compound::CHEBI_90085	CHEBI_90085	3	0	
Compound::CHEBI_57363	CHEBI_57363	3	1	human metabolite
Compound::CHEBI_63224	CHEBI_63224	3	0	
Compound::CHEBI_138218	CHEBI_138218	3	0	
Compound::CHEBI_88528	CHEBI_88528	3	1	human urinary metabolite
Compound::CHEBI_85291	CHEBI_85291	3	0	
Compound::CHEBI_61891	CHEBI_61891	3	0	
Compound::CHEBI_62237	CHEBI_62237	3	0	
Compound::CHEBI_17813	CHEBI_17813	3	3	Saccharomyces cerevisiae metabolite; human metabolite; mouse metabolite
Compound::CHEBI_76088	CHEBI_76088	3	0	
Compound::CHEBI_136982	CHEBI_136982	3	0	
Compound::CHEBI_58266	CHEBI_58266	3	0	
Compound::CHEBI_137017	CHEBI_137017	3	0	
Compound::CHEBI_58718	CHEBI_58718	3	0	
Compound::CHEBI_136731	CHEBI_136731	3	0	
Compound::CHEBI_132201	CHEBI_132201	3	0	
Compound::CHEBI_137949	CHEBI_137949	3	0	
Compound::CHEBI_65107	CHEBI_65107	3	0	
Compound::CHEBI_85263	CHEBI_85263	3	0	
Compound::CHEBI_36242	CHEBI_36242	3	2	Saccharomyces cerevisiae metabolite; human metabolite
Compound::CHEBI_136967	CHEBI_136967	3	0	
Compound::CHEBI_75584	CHEBI_75584	3	1	metabolite
Compound::CHEBI_65073	CHEBI_65073	3	0	
Compound::CHEBI_49552	CHEBI_49552	3	1	cofactor
Compound::CHEBI_138663	CHEBI_138663	3	0	
Compound::CHEBI_16664	CHEBI_16664	3	3	anthelminthic drug; microtubule-destabilising agent; tubulin modulator
Compound::CHEBI_58533	CHEBI_58533	3	2	Saccharomyces cerevisiae metabolite; human metabolite
Compound::CHEBI_77756	CHEBI_77756	3	0	
Compound::CHEBI_76085	CHEBI_76085	3	0	
Compound::CHEBI_145465	CHEBI_145465	3	0	
Compound::CHEBI_137950	CHEBI_137950	3	0	
Compound::CHEBI_140623	CHEBI_140623	3	0	
Compound::CHEBI_141005	CHEBI_141005	3	0	
Compound::CHEBI_58336	CHEBI_58336	3	2	Saccharomyces cerevisiae metabolite; human metabolite
Compound::CHEBI_136335	CHEBI_136335	3	0	
Compound::CHEBI_84973	CHEBI_84973	3	0	
Compound::CHEBI_73863	CHEBI_73863	3	0	
Compound::CHEBI_136303	CHEBI_136303	3	0	
Compound::CHEBI_58734	CHEBI_58734	3	0	
Compound::CHEBI_76614	CHEBI_76614	3	0	
Compound::CHEBI_58589	CHEBI_58589	3	2	Saccharomyces cerevisiae metabolite; human metabolite
Compound::CHEBI_16959	CHEBI_16959	3	0	
