compound	entity_id	dti_edges	n_roles	roles
Compound::CHEBI_140371	CHEBI_140371	1	0	
Compound::CHEBI_78078	CHEBI_78078	1	1	platelet aggregation inhibitor
Compound::CHEBI_84789	CHEBI_84789	1	1	mouse metabolite
Compound::CHEBI_61610	CHEBI_61610	1	1	mouse metabolite
Compound::CHEBI_143254	CHEBI_143254	1	0	
Compound::CHEBI_87538	CHEBI_87538	1	0	
Compound::CHEBI_137077	CHEBI_137077	1	2	human metabolite; rat metabolite
Compound::CHEBI_137984	CHEBI_137984	1	0	
Compound::CHEBI_27913	CHEBI_27913	1	1	human metabolite
Compound::CHEBI_76386	CHEBI_76386	1	0	
Compound::CHEBI_15867	CHEBI_15867	1	0	
Compound::CHEBI_90826	CHEBI_90826	1	1	human xenobiotic metabolite
Compound::CHEBI_132017	CHEBI_132017	1	0	
Compound::CHEBI_137581	CHEBI_137581	1	0	
Compound::CHEBI_16004	CHEBI_16004	1	1	Saccharomyces cerevisiae metabolite
Compound::CHEBI_73544	CHEBI_73544	1	0	
Compound::CHEBI_140308	CHEBI_140308	1	0	
Compound::CHEBI_156344	CHEBI_156344	1	0	
Compound::CHEBI_76080	CHEBI_76080	1	0	
Compound::CHEBI_76723	CHEBI_76723	1	0	
Compound::CHEBI_57382	CHEBI_57382	1	0	
Compound::CHEBI_91004	CHEBI_91004	1	0	
Compound::CHEBI_86074	CHEBI_86074	1	1	human metabolite
Compound::CHEBI_84443	CHEBI_84443	1	0	
Compound::CHEBI_136933	CHEBI_136933	1	0	
Compound::CHEBI_138075	CHEBI_138075	1	0	
Compound::CHEBI_17427	CHEBI_17427	1	0	
Compound::CHEBI_167544	CHEBI_167544	1	0	
Compound::CHEBI_138029	CHEBI_138029	1	0	
Compound::CHEBI_134033	CHEBI_134033	1	0	
Compound::CHEBI_28869	CHEBI_28869	1	5	EC 3.4.22.69 (SARS coronavirus main proteinase) inhibitor; angiogenesis inhibitor; antineoplastic agent; human urinary metabolite; nutraceutical
Compound::CHEBI_137032	CHEBI_137032	1	1	human urinary metabolite
Compound::CHEBI_134408	CHEBI_134408	1	0	
Compound::CHEBI_76410	CHEBI_76410	1	0	
Compound::CHEBI_89268	CHEBI_89268	1	1	human urinary metabolite
Compound::CHEBI_58357	CHEBI_58357	1	1	human metabolite
Compound::CHEBI_77296	CHEBI_77296	1	0	
Compound::CHEBI_78931	CHEBI_78931	1	0	
Compound::CHEBI_50667	CHEBI_50667	1	3	anticoronaviral agent; antimetabolite; antineoplastic agent
Compound::CHEBI_58022	CHEBI_58022	1	0	
Compound::CHEBI_57477	CHEBI_57477	1	1	human metabolite
Compound::CHEBI_142511	CHEBI_142511	1	0	
Compound::CHEBI_138147	CHEBI_138147	1	0	
Compound::CHEBI_147393	CHEBI_147393	1	0	
Compound::CHEBI_136523	CHEBI_136523	1	0	
Compound::CHEBI_763	CHEBI_763	1	1	progestin
Compound::CHEBI_87678	CHEBI_87678	1	1	human xenobiotic metabolite
Compound::CHEBI_16551	CHEBI_16551	1	4	Escherichia coli metabolite; Saccharomyces cerevisiae metabolite; human metabolite; mouse metabolite
Compound::CHEBI_136966	CHEBI_136966	1	0	
Compound::CHEBI_76411	CHEBI_76411	1	0	
Compound::CHEBI_136389	CHEBI_136389	1	0	
Compound::CHEBI_90477	CHEBI_90477	1	0	
Compound::CHEBI_62847	CHEBI_62847	1	0	
Compound::CHEBI_133401	CHEBI_133401	1	0	
Compound::CHEBI_49190	CHEBI_49190	1	0	
Compound::CHEBI_132080	CHEBI_132080	1	0	
Compound::CHEBI_145782	CHEBI_145782	1	0	
Compound::CHEBI_58972	CHEBI_58972	1	1	human metabolite
Compound::CHEBI_16472	CHEBI_16472	1	1	plant metabolite
Compound::CHEBI_53081	CHEBI_53081	1	0	
Compound::CHEBI_144023	CHEBI_144023	1	0	
Compound::CHEBI_64720	CHEBI_64720	1	0	
Compound::CHEBI_16793	CHEBI_16793	1	1	Escherichia coli metabolite
Compound::CHEBI_147418	CHEBI_147418	1	0	
Compound::CHEBI_157652	CHEBI_157652	1	0	
Compound::CHEBI_156326	CHEBI_156326	1	0	
Compound::CHEBI_138661	CHEBI_138661	1	0	
Compound::CHEBI_90803	CHEBI_90803	1	0	
Compound::CHEBI_76935	CHEBI_76935	1	0	
Compound::CHEBI_138298	CHEBI_138298	1	0	
Compound::CHEBI_138214	CHEBI_138214	1	0	
Compound::CHEBI_61967	CHEBI_61967	1	0	
Compound::CHEBI_77828	CHEBI_77828	1	0	
Compound::CHEBI_145036	CHEBI_145036	1	0	
Compound::CHEBI_75124	CHEBI_75124	1	0	
Compound::CHEBI_86162	CHEBI_86162	1	0	
Compound::CHEBI_156330	CHEBI_156330	1	0	
Compound::CHEBI_138269	CHEBI_138269	1	0	
Compound::CHEBI_141575	CHEBI_141575	1	0	
Compound::CHEBI_75280	CHEBI_75280	1	0	
Compound::CHEBI_131766	CHEBI_131766	1	0	
Compound::CHEBI_63910	CHEBI_63910	1	1	metabolite
Compound::CHEBI_77919	CHEBI_77919	1	0	
Compound::CHEBI_139182	CHEBI_139182	1	0	
Compound::CHEBI_58782	CHEBI_58782	1	0	
Compound::CHEBI_137187	CHEBI_137187	1	0	
Compound::CHEBI_149664	CHEBI_149664	1	0	
Compound::CHEBI_91308	CHEBI_91308	1	2	human metabolite; rat metabolite
Compound::CHEBI_145419	CHEBI_145419	1	0	
Compound::CHEBI_138722	CHEBI_138722	1	0	
Compound::CHEBI_76055	CHEBI_76055	1	0	
Compound::CHEBI_138005	CHEBI_138005	1	0	
Compound::CHEBI_90871	CHEBI_90871	1	0	
Compound::CHEBI_90696	CHEBI_90696	1	0	
Compound::CHEBI_74259	CHEBI_74259	1	0	
Compound::CHEBI_82831	CHEBI_82831	1	0	
Compound::CHEBI_141580	CHEBI_141580	1	0	
Compound::CHEBI_62649	CHEBI_62649	1	1	mouse metabolite
Compound::CHEBI_76073	CHEBI_76073	1	0	
Compound::CHEBI_17640	CHEBI_17640	1	2	Saccharomyces cerevisiae metabolite; plant metabolite
Compound::CHEBI_137076	CHEBI_137076	1	0	
Compound::CHEBI_157644	CHEBI_157644	1	0	
Compound::CHEBI_136971	CHEBI_136971	1	0	
Compound::CHEBI_85175	CHEBI_85175	1	0	
Compound::CHEBI_86096	CHEBI_86096	1	0	
Compound::CHEBI_75266	CHEBI_75266	1	0	
Compound::CHEBI_133003	CHEBI_133003	1	0	
Compound::CHEBI_47813	CHEBI_47813	1	1	human metabolite
Compound::CHEBI_84489	CHEBI_84489	1	0	
Compound::CHEBI_85152	CHEBI_85152	1	0	
Compound::CHEBI_133387	CHEBI_133387	1	0	
Compound::CHEBI_90457	CHEBI_90457	1	0	
Compound::CHEBI_143533	CHEBI_143533	1	0	
Compound::CHEBI_21291	CHEBI_21291	1	0	
Compound::CHEBI_63660	CHEBI_63660	1	0	
Compound::CHEBI_84838	CHEBI_84838	1	1	human metabolite
Compound::CHEBI_76070	CHEBI_76070	1	0	
Compound::CHEBI_90873	CHEBI_90873	1	0	
Compound::CHEBI_137524	CHEBI_137524	1	0	
Compound::CHEBI_132529	CHEBI_132529	1	0	
Compound::CHEBI_86137	CHEBI_86137	1	0	
Compound::CHEBI_83969	CHEBI_83969	1	0	
Compound::CHEBI_91300	CHEBI_91300	1	0	
Compound::CHEBI_138634	CHEBI_138634	1	0	
Compound::CHEBI_17128	CHEBI_17128	1	1	human xenobiotic metabolite
Compound::CHEBI_58100	CHEBI_58100	1	0	
Compound::CHEBI_84647	CHEBI_84647	1	0	
Compound::CHEBI_139581	CHEBI_139581	1	0	
Compound::CHEBI_132011	CHEBI_132011	1	0	
Compound::CHEBI_62558	CHEBI_62558	1	0	
Compound::CHEBI_75546	CHEBI_75546	1	0	
Compound::CHEBI_75263	CHEBI_75263	1	0	
Compound::CHEBI_90802	CHEBI_90802	1	0	
Compound::CHEBI_86119	CHEBI_86119	1	0	
Compound::CHEBI_86098	CHEBI_86098	1	0	
Compound::CHEBI_32814	CHEBI_32814	1	2	Saccharomyces cerevisiae metabolite; human metabolite
Compound::CHEBI_131780	CHEBI_131780	1	0	
Compound::CHEBI_85285	CHEBI_85285	1	0	
Compound::CHEBI_75116	CHEBI_75116	1	0	
Compound::CHEBI_133407	CHEBI_133407	1	0	
Compound::CHEBI_136936	CHEBI_136936	1	0	
Compound::CHEBI_136708	CHEBI_136708	1	0	
Compound::CHEBI_74975	CHEBI_74975	1	0	
Compound::CHEBI_78180	CHEBI_78180	1	0	
Compound::CHEBI_84462	CHEBI_84462	1	0	
Compound::CHEBI_85261	CHEBI_85261	1	0	
Compound::CHEBI_50014	CHEBI_50014	1	0	
Compound::CHEBI_78995	CHEBI_78995	1	0	
Compound::CHEBI_57924	CHEBI_57924	1	0	
Compound::CHEBI_47013	CHEBI_47013	1	0	
Compound::CHEBI_90715	CHEBI_90715	1	0	
Compound::CHEBI_90980	CHEBI_90980	1	1	human metabolite
Compound::CHEBI_3663	CHEBI_3663	1	2	human metabolite; mouse metabolite
Compound::CHEBI_17587	CHEBI_17587	1	2	human metabolite; mouse metabolite
Compound::CHEBI_146292	CHEBI_146292	1	0	
Compound::CHEBI_90823	CHEBI_90823	1	1	human xenobiotic metabolite
Compound::CHEBI_57538	CHEBI_57538	1	2	Saccharomyces cerevisiae metabolite; human metabolite
Compound::CHEBI_82795	CHEBI_82795	1	0	
Compound::CHEBI_133414	CHEBI_133414	1	0	
Compound::CHEBI_16548	CHEBI_16548	1	2	insecticide; persistent organic pollutant
Compound::CHEBI_57655	CHEBI_57655	1	1	human metabolite
Compound::CHEBI_78566	CHEBI_78566	1	0	
Compound::CHEBI_76461	CHEBI_76461	1	0	
Compound::CHEBI_133045	CHEBI_133045	1	0	
Compound::CHEBI_136486	CHEBI_136486	1	0	
Compound::CHEBI_90870	CHEBI_90870	1	0	
Compound::CHEBI_141490	CHEBI_141490	1	0	
Compound::CHEBI_84843	CHEBI_84843	1	0	
Compound::CHEBI_58769	CHEBI_58769	1	0	
Compound::CHEBI_85809	CHEBI_85809	1	1	mammalian metabolite
Compound::CHEBI_137046	CHEBI_137046	1	0	
Compound::CHEBI_149663	CHEBI_149663	1	0	
Compound::CHEBI_27582	CHEBI_27582	1	1	mouse metabolite
Compound::CHEBI_78565	CHEBI_78565	1	0	
Compound::CHEBI_138006	CHEBI_138006	1	0	
Compound::CHEBI_146163	CHEBI_146163	1	0	
